Date,Open,High,Low,Close,Adj Close,Volume
2023-12-04,447.369995,450.959991,446.109985,450.690002,450.690002,1265700
2023-12-05,450.290009,450.640015,445.899994,446.239990,446.239990,1055700
2023-12-06,445.500000,450.440002,445.500000,449.410004,449.410004,864100
2023-12-07,450.420013,451.390015,446.290009,447.109985,447.109985,861100
2023-12-08,448.570007,450.529999,447.459991,448.019989,448.019989,761100
2023-12-11,451.880005,453.260010,449.510010,451.260010,451.260010,1021600
2023-12-12,451.679993,453.750000,450.369995,451.630005,451.630005,1008200
2023-12-13,452.950012,454.190002,450.500000,451.440002,451.440002,1300300
2023-12-14,450.510010,450.869995,441.440002,445.269989,445.269989,1891000
2023-12-15,441.000000,444.549988,438.709991,441.809998,441.809998,3973400
2023-12-18,442.709991,447.260010,442.269989,446.910004,446.910004,1197300
2023-12-19,447.679993,448.589996,446.149994,447.790009,447.790009,695000
2023-12-20,448.040009,448.549988,442.570007,442.600006,442.600006,1306800
2023-12-21,444.239990,448.100006,444.220001,448.019989,448.019989,637200
2023-12-22,450.000000,451.739990,448.109985,448.220001,448.220001,623600
2023-12-26,448.149994,451.440002,447.820007,450.179993,450.179993,516900
2023-12-27,448.549988,451.019989,448.410004,448.970001,448.970001,699900
2023-12-28,448.970001,451.829987,448.459991,451.230011,451.230011,741800
2023-12-29,452.000000,453.500000,451.149994,453.239990,453.239990,832400
2024-01-02,454.299988,462.049988,454.299988,456.119995,456.119995,1206500
2024-01-03,458.790009,464.100006,457.809998,459.119995,459.119995,1174300
2024-01-04,462.309998,463.950012,457.769989,457.869995,457.869995,1087700
2024-01-05,460.040009,460.109985,453.269989,456.500000,456.500000,705300
